score_id,contact_id,agent_id,section_name,criteria_name,score,passed,reasoning,scored_by,evaluated_at
5b25f7b6-6e23-455c-a1e5-724522c74da4,624279072949,26514875,Section 1: Offer Assistance,Greeting,1.0,True,"PASS — signals found: this is, thank you for contacting",keyword_match,2026-03-14 10:17:48.171128
b95e7f41-4077-449f-b149-ab2afc8c36a0,624279072949,26514875,Section 1: Offer Assistance,User Authentication,1.0,True,"PASS — signals found: call you back, spell your",keyword_match,2026-03-14 10:17:48.212123
5a133950-d18f-4e42-94d5-7fe03e268adb,624279072949,26514875,Section 1: Offer Assistance,Offer Assistance,1.0,True,"PASS — signals found: how can i help, how can i",keyword_match,2026-03-14 10:17:48.223380
4fc2c810-7790-4d7b-a5ed-28730d44a4b7,624279072949,26514875,Section 2: Problem Resolution,Active Listening,0.0,False,"FAIL — found 0/1. Missing: just to confirm, so what you're saying",keyword_match,2026-03-14 10:17:48.234159
36760aa1-8a56-483a-8275-d84003156bec,624279072949,26514875,Section 2: Problem Resolution,Resolution Provided,0.0,False,"FAIL — found 0/1. Missing: resolved, fixed",keyword_match,2026-03-14 10:17:48.245061
769cc541-371a-4547-af98-1c9faf4d76af,624279072949,26514875,Section 2: Problem Resolution,Hold Protocol,1.0,True,"PASS — signals found: one moment, one second",keyword_match,2026-03-14 10:17:48.249815
ce8597d0-6541-41a1-8888-a73f4aeb9861,624279072949,26514875,Section 2: Problem Resolution,Escalation Handling,0.0,False,"FAIL — found 0/1. Missing: escalate, escalation",keyword_match,2026-03-14 10:17:48.257132
b8aa2dc7-30fe-47a4-9d12-ba0e3d537188,624279072949,26514875,Section 4: Call Closing,Issue Confirmation,1.0,True,PASS — signals found: anything else,keyword_match,2026-03-14 10:17:48.261679
a2034d88-cf2f-4c80-b433-e385358dcdda,624279072949,26514875,Section 4: Call Closing,Professional Farewell,1.0,True,"PASS — signals found: have a great, great day",keyword_match,2026-03-14 10:17:48.266386
cb133f62-a66d-4738-b724-1e1c1955f2ec,624279072949,26514875,Section 3: Communication Quality,Professional Tone,0.73,True,PASS — Sentiment:0.15 Empathy:3 Negative:0 Score:0.73,sentiment_analysis,2026-03-14 10:17:48.273401
a6440f1e-f365-4abb-a478-cfd4ce0420bf,624279072949,26514875,Section 3: Communication Quality,Clear Explanation,0.36,True,PASS — Instruction keywords: 3,sentiment_analysis,2026-03-14 10:17:48.278497
276ac884-86cf-4f11-8980-b19a98b09838,624279072949,26514875,Section 4: Call Closing,Recap Provided,0.0,False,FAIL — Recap signals: none found,sentiment_analysis,2026-03-14 10:17:48.286475
8375a9a7-ecbc-4880-9e25-9fa5340ac10e,624279091078,23548679,Section 1: Offer Assistance,Greeting,0.0,False,"FAIL — found 1/2. Missing: thanks for calling, my name is",keyword_match,2026-03-14 10:17:48.320154
560b5f96-0680-41cb-932a-08909bac7f0d,624279091078,23548679,Section 1: Offer Assistance,User Authentication,0.0,False,"FAIL — found 0/2. Missing: first and last name, full name",keyword_match,2026-03-14 10:17:48.328012
b5dcef33-fa57-4b34-86c8-780f1163c4e0,624279091078,23548679,Section 1: Offer Assistance,Offer Assistance,1.0,True,"PASS — signals found: how can i help, how can i",keyword_match,2026-03-14 10:17:48.331720
b3eba0ce-ac20-4458-b0e5-f22d71cc81d8,624279091078,23548679,Section 2: Problem Resolution,Active Listening,0.0,False,"FAIL — found 0/1. Missing: just to confirm, so what you're saying",keyword_match,2026-03-14 10:17:48.334559
d438fccb-9ad5-417d-a887-5c59fcfc6a80,624279091078,23548679,Section 2: Problem Resolution,Resolution Provided,0.0,False,"FAIL — found 0/1. Missing: resolved, fixed",keyword_match,2026-03-14 10:17:48.337000
d2e57379-8b56-4e1b-9106-9f5825fdd227,624279091078,23548679,Section 2: Problem Resolution,Hold Protocol,0.0,False,"FAIL — found 0/1. Missing: place you on hold, put you on hold",keyword_match,2026-03-14 10:17:48.342954
e7dcea3d-6385-4804-91c9-db920f6a3e73,624279091078,23548679,Section 2: Problem Resolution,Escalation Handling,0.0,False,"FAIL — found 0/1. Missing: escalate, escalation",keyword_match,2026-03-14 10:17:48.351375
80a152d2-2a0e-454a-8b97-b2526529a44b,624279091078,23548679,Section 4: Call Closing,Issue Confirmation,0.0,False,"FAIL — found 0/1. Missing: anything else, is there anything",keyword_match,2026-03-14 10:17:48.358273
5dc089f2-925c-4497-971d-f3d9b6f669cf,624279091078,23548679,Section 4: Call Closing,Professional Farewell,1.0,True,"PASS — signals found: have a great, great day",keyword_match,2026-03-14 10:17:48.363060
8ba57421-8d64-4461-8426-1a9efbd119e4,624279091078,23548679,Section 3: Communication Quality,Professional Tone,0.78,True,PASS — Sentiment:0.25 Empathy:3 Negative:0 Score:0.78,sentiment_analysis,2026-03-14 10:17:48.369166
3a6d7d08-c262-4714-9652-04864c9e371f,624279091078,23548679,Section 3: Communication Quality,Clear Explanation,0.12,False,FAIL — Instruction keywords: 1,sentiment_analysis,2026-03-14 10:17:48.377133
aab85232-5d48-4b54-8023-61be02ec31f9,624279091078,23548679,Section 4: Call Closing,Recap Provided,0.0,False,FAIL — Recap signals: none found,sentiment_analysis,2026-03-14 10:17:48.382963
87b1c8ba-10d1-4683-aa3a-5d014a340aec,624279096503,21352312,Section 1: Offer Assistance,Greeting,0.0,False,"FAIL — found 0/2. Missing: thank you for calling, thanks for calling",keyword_match,2026-03-14 10:17:48.416064
e110512b-29c5-4b47-8fce-af74e357e8ce,624279096503,21352312,Section 1: Offer Assistance,User Authentication,0.0,False,"FAIL — found 0/2. Missing: first and last name, full name",keyword_match,2026-03-14 10:17:48.419062
